survey_id,issue_key,score,comment,submitted_at
CSAT-0037,ITSM-2147,3,"Okay, resolved eventually.",2026-07-13 09:00:00
CSAT-0038,ITSM-2159,5,"Excellent, fast and helpful.",2026-07-18 13:00:00
CSAT-0039,ITSM-2165,5,"Excellent, fast and helpful.",2026-07-06 17:00:00
CSAT-0040,ITSM-2172,4,"Good, resolved quickly.",2026-07-17 15:00:00
CSAT-0041,ITSM-2174,4,,2026-07-12 17:00:00
CSAT-0042,ITSM-2176,2,Slow and frustrating.,2026-07-24 09:00:00
CSAT-0043,ITSM-2243,5,"Excellent, fast and helpful.",2026-07-11 18:00:00
CSAT-0044,ITSM-2244,,,
CSAT-0045,ITSM-2246,3,,2026-07-12 12:00:00
CSAT-0046,ITSM-2250,1,"Very poor, took far too long.",2026-07-24 10:00:00
CSAT-0047,ITSM-2256,5,,2026-07-19 11:00:00
CSAT-0048,ITSM-2263,2,Slow and frustrating.,2026-07-11 09:00:00
CSAT-0049,ITSM-2273,,,
CSAT-0050,ITSM-2281,3,"Okay, resolved eventually.",2026-07-10 15:00:00
CSAT-0051,ITSM-2286,2,Slow and frustrating.,2026-07-15 18:00:00
CSAT-0052,ITSM-2291,5,"Excellent, fast and helpful.",2026-07-27 10:00:00
CSAT-0053,ITSM-2298,5,"Excellent, fast and helpful.",2026-07-14 16:00:00
CSAT-0054,ITSM-2301,2,,2026-07-21 17:00:00
CSAT-0055,ITSM-2317,4,"Good, resolved quickly.",2026-07-21 13:00:00
CSAT-0056,ITSM-2319,2,Slow and frustrating.,2026-07-18 16:00:00
CSAT-0057,ITSM-2321,5,,2026-07-10 10:00:00
CSAT-0058,ITSM-2327,5,"Excellent, fast and helpful.",2026-07-23 11:00:00
CSAT-0059,ITSM-2330,5,"Excellent, fast and helpful.",2026-07-23 17:00:00
CSAT-0060,ITSM-2338,4,"Good, resolved quickly.",2026-07-26 10:00:00
CSAT-0061,ITSM-2341,3,"Okay, resolved eventually.",2026-07-09 11:00:00
CSAT-0062,ITSM-2342,5,,2026-07-20 14:00:00
CSAT-0063,ITSM-2351,,,
CSAT-0064,ITSM-2356,,,
CSAT-0065,ITSM-2358,2,Slow and frustrating.,2026-07-07 10:00:00
CSAT-0066,ITSM-2365,4,"Good, resolved quickly.",2026-07-23 11:00:00
CSAT-0067,ITSM-2373,5,,2026-07-15 09:00:00
CSAT-0068,ITSM-2376,4,"Good, resolved quickly.",2026-07-27 17:00:00
CSAT-0069,ITSM-2377,4,"Good, resolved quickly.",2026-07-22 14:00:00
CSAT-0070,ITSM-2382,4,"Good, resolved quickly.",2026-07-27 09:00:00
CSAT-0071,ITSM-2384,3,,2026-07-12 11:00:00
CSAT-0072,ITSM-2399,3,"Okay, resolved eventually.",2026-07-10 18:00:00
CSAT-0073,ITSM-2410,4,,2026-07-26 11:00:00
CSAT-0074,ITSM-2412,2,,2026-07-19 11:00:00
CSAT-0075,ITSM-2413,2,Slow and frustrating.,2026-07-26 12:00:00
CSAT-0076,ITSM-2414,4,"Good, resolved quickly.",2026-07-22 18:00:00
CSAT-0077,ITSM-2418,,,
CSAT-0078,ITSM-2423,3,"Okay, resolved eventually.",2026-07-18 09:00:00
CSAT-0079,ITSM-2425,3,,2026-07-23 10:00:00
CSAT-0080,ITSM-2428,4,"Good, resolved quickly.",2026-07-08 14:00:00
CSAT-0081,ITSM-2429,5,,2026-07-13 13:00:00
CSAT-0082,ITSM-2433,,,
CSAT-0083,ITSM-2443,5,"Excellent, fast and helpful.",2026-07-09 10:00:00
CSAT-0084,ITSM-2448,,,
CSAT-0085,ITSM-2453,3,"Okay, resolved eventually.",2026-07-21 10:00:00
CSAT-0086,ITSM-2456,5,"Excellent, fast and helpful.",2026-07-23 13:00:00
CSAT-0087,ITSM-2458,5,,2026-07-18 11:00:00
